id,gender,program_type,study_hours,score,satisfaction
1,남성,B,5.61,66.52,2.65
2,여성,B,2.92,74.61,4.06
3,남성,C,6.5,80.96,5.0
4,여성,B,6.88,,2.84
5,남성,B,1.1,49.15,2.81
6,여성,B,2.4,59.22,
7,여성,A,5.26,82.75,4.3
8,여성,A,4.37,73.2,2.46
9,남성,B,4.97,80.45,3.51
10,여성,B,3.29,72.02,4.78
11,남성,A,6.76,97.71,1.93
12,남성,B,6.56,83.35,2.52
13,여성,B,5.13,66.87,3.32
14,남성,A,7.25,98.26,2.66
15,여성,B,5.94,80.21,4.13
16,여성,C,3.28,77.98,4.16
17,남성,A,5.74,84.9,1.85
18,여성,C,3.08,66.98,4.34
19,남성,C,6.76,89.93,3.37
20,여성,B,4.9,93.09,4.43
21,남성,A,4.63,,2.59
22,여성,B,3.64,71.47,3.19
23,남성,C,7.45,92.0,4.1
24,남성,B,4.69,85.0,3.85
25,남성,C,4.14,66.78,4.04
26,여성,B,4.3,77.0,2.5
27,여성,B,6.06,83.33,3.95
28,여성,A,5.73,84.31,2.58
29,여성,C,5.83,75.63,4.15
30,여성,A,5.86,69.76,
31,여성,C,9.28,83.69,4.29
32,남성,C,4.19,64.83,3.23
33,여성,A,3.98,69.0,2.42
34,여성,B,3.37,67.19,4.06
35,남성,A,6.23,99.9,3.16
36,남성,C,7.26,98.59,3.35
37,여성,A,4.77,69.12,4.19
38,남성,C,3.32,72.04,3.46
39,여성,A,3.35,66.17,3.27
40,남성,C,6.3,82.49,3.92
41,남성,C,6.49,87.21,3.35
42,여성,B,6.09,88.6,3.91
43,남성,C,3.67,68.36,3.4
44,남성,C,5.46,88.93,3.48
45,여성,C,5.23,70.08,4.89
46,여성,A,5.44,80.33,2.57
47,남성,B,6.74,,1.78
48,남성,A,5.45,82.11,4.05
49,여성,B,6.36,96.53,5.0
50,여성,A,5.14,79.43,2.99
51,여성,B,5.58,85.65,2.34
52,남성,B,6.26,84.11,3.15
53,남성,B,2.09,61.48,3.16
54,남성,B,4.36,68.44,3.23
55,남성,C,4.06,76.55,3.03
56,여성,C,3.72,64.54,4.38
57,남성,B,4.45,80.46,3.69
58,여성,B,7.99,100.0,2.63
59,여성,C,3.27,71.93,4.45
60,여성,A,6.94,85.78,4.58
61,남성,A,1.63,64.13,3.11
62,여성,A,4.33,72.05,3.03
63,여성,B,5.33,87.18,3.51
64,여성,B,6.17,69.45,4.0
65,남성,C,6.42,82.71,2.63
66,남성,C,6.59,70.32,3.86
67,여성,A,4.3,62.41,3.0
68,남성,C,4.08,84.1,4.95
69,남성,C,6.72,94.08,3.64
70,여성,A,4.62,70.25,4.33
71,여성,B,2.45,52.71,2.88
72,여성,A,2.73,42.5,3.63
73,남성,A,3.16,64.09,3.21
74,여성,A,5.99,100.0,2.69
75,남성,C,5.28,82.96,3.87
76,여성,B,6.38,80.7,4.39
77,여성,B,4.15,77.28,3.39
78,남성,C,5.32,67.16,2.65
79,남성,B,6.25,82.13,3.34
80,남성,C,4.38,75.58,3.16
81,여성,C,5.91,82.06,3.78
82,여성,B,3.68,77.44,3.55
83,여성,B,4.27,76.98,2.49
84,여성,C,4.24,79.38,2.95
85,남성,C,2.61,60.06,4.06
86,여성,C,5.97,90.25,3.66
87,남성,A,4.06,86.15,1.33
88,남성,C,5.02,70.37,4.26
89,여성,B,5.96,75.9,3.78
90,여성,A,5.89,93.33,2.79
91,남성,B,6.33,83.39,2.49
92,여성,C,4.8,88.21,4.54
93,여성,A,4.15,70.06,3.48
94,여성,B,4.84,88.81,5.0
95,여성,C,1.63,61.5,4.27
96,남성,A,2.11,65.02,3.25
97,남성,B,2.35,76.76,3.24
98,남성,B,3.01,64.73,3.88
99,여성,A,5.8,74.63,3.66
100,여성,C,3.19,64.99,4.81
101,남성,C,4.24,77.69,3.41
102,남성,A,7.6,78.99,2.72
103,남성,C,4.29,79.39,3.44
104,여성,C,6.48,81.36,4.51
105,여성,A,3.13,77.47,4.22
106,남성,C,4.59,56.71,3.45
107,남성,A,3.1,61.83,2.72
108,여성,C,4.32,60.98,4.2
109,남성,B,6.68,80.13,3.19
110,여성,B,1.55,62.02,4.22
111,남성,A,5.87,81.08,1.54
112,남성,C,5.48,78.45,3.21
113,여성,A,3.81,70.55,2.74
114,남성,A,2.11,64.59,1.49
115,남성,A,5.14,70.68,2.37
116,남성,C,3.94,78.15,3.16
117,남성,A,5.47,85.72,2.87
118,남성,C,5.04,81.31,4.47
119,남성,B,8.2,99.11,3.19
120,남성,A,4.52,77.88,2.33
121,남성,A,2.95,83.64,2.96
122,여성,A,5.36,79.17,
123,여성,B,5.44,77.83,2.97
124,남성,C,7.72,86.11,3.16
125,남성,A,6.67,78.43,3.36
126,여성,C,5.71,71.76,3.86
127,여성,A,7.93,86.11,3.67
128,여성,C,2.62,65.07,3.99
129,남성,C,3.72,74.02,4.21
130,남성,C,3.15,68.77,3.08
131,남성,C,4.22,67.82,3.74
132,남성,C,2.25,70.88,3.61
133,여성,A,6.27,90.52,2.46
134,남성,A,4.56,74.41,1.98
135,남성,A,2.06,57.48,3.45
136,남성,B,2.97,71.83,3.12
137,여성,C,5.63,82.76,3.34
138,남성,B,6.68,,3.29
139,여성,C,8.99,98.22,4.73
140,남성,A,10.0,100.0,1.52
141,여성,C,5.83,75.11,3.03
142,남성,A,3.02,69.23,2.4
143,여성,A,0.74,44.19,4.2
144,여성,C,5.54,91.47,4.18
145,여성,C,3.37,79.53,4.5
146,여성,B,4.17,71.66,2.86
147,여성,A,3.78,74.54,2.52
148,여성,B,4.72,57.26,3.89
149,여성,A,7.13,79.84,3.29
150,남성,C,5.31,77.28,4.11
