company_id,worker_id,company_worker_id,industry_group,company_size,current_position,manager_authority,job_field,training_general,training_manager,training_job_related,training_other_field,ojt_participation,ojt_effect,offjt_participation,offjt_effect,training_days_group,training_sufficient,training_equal_opportunity,training_job_relevance,training_field_applicable,skill_level_entry,skill_level_current,has_job_certificate,work_autonomy,team_trust,free_opinion_to_supervisor,fair_evaluation_reward,work_content_satisfaction,wage_satisfaction,relationship_satisfaction,overall_job_satisfaction,turnover_intention,organizational_loyalty,fatigue,job_tension,regular_employee,union_member,regular_work_hours,overtime_hours,annual_income_10k_krw,monthly_income_10k_krw,gender,birth_year,marital_status,education_level,major_field
1,1,101,1,1,1,2,16,1,1,2,2,2,,2,,1,2,2,2,4,3,3,2,3,3,3,3,3,3,4,3,3,3,3,3,1,2,40,0,6600,,2,1995,2,5,3
1,6,106,1,1,3,1,7,1,2,1,2,1,4,1,4,2,4,3,4,4,2,4,2,2,3,2,2,3,2,3,3,4,2,4,4,1,2,40,0,,495,1,1991,1,5,3
1,11,111,1,1,4,1,16,1,1,1,1,1,4,1,4,2,3,4,3,3,1,3,2,4,4,3,4,2,4,2,3,5,3,4,3,1,2,40,2,7500,,1,1984,2,5,1
1,12,112,1,1,3,1,18,2,2,2,2,2,,2,,1,3,3,3,3,2,4,2,3,3,3,3,3,3,3,4,3,3,3,3,1,2,40,0,6000,,1,1985,2,5,3
1,401,1401,1,1,1,2,20,1,1,1,2,1,2,1,2,2,4,4,4,4,2,5,1,2,2,3,2,3,2,4,3,3,3,3,2,1,1,40,4,7800,,1,1975,2,3,
1,402,1402,1,1,3,1,7,1,1,1,1,1,5,1,5,2,5,5,5,5,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,40,0,,485,1,1986,1,5,3
1,403,1403,1,1,1,1,7,2,2,2,2,2,,2,,1,2,2,2,2,2,2,2,3,3,3,4,4,4,3,4,3,3,3,2,1,2,40,0,,420,1,1993,1,5,3
1,404,1404,1,1,1,2,20,1,1,1,1,1,4,1,4,2,4,4,4,4,1,3,2,4,4,4,4,3,3,3,3,3,3,3,3,1,1,40,12,6600,,1,1994,1,3,
1,405,1405,1,1,1,2,19,1,2,1,2,1,4,1,4,2,4,3,2,2,2,4,2,1,2,2,3,4,4,4,4,2,3,3,3,1,1,40,4,6000,,1,1990,2,3,
1,406,1406,1,1,1,2,20,1,1,2,1,2,,1,1,3,3,3,4,3,1,3,2,4,4,4,4,3,4,3,3,2,4,2,2,1,1,40,12,5400,,1,1998,1,3,
1,407,1407,1,1,1,2,19,1,2,1,2,1,2,1,2,2,4,2,3,3,2,4,2,3,3,2,3,4,4,4,3,2,3,3,3,1,1,40,8,,500,1,1996,1,3,
1,408,1408,1,1,1,2,20,1,2,1,2,1,2,1,2,2,4,4,4,3,2,5,1,4,4,3,2,3,3,4,3,3,2,2,2,1,1,40,12,7800,,1,1976,2,4,3
1,409,1409,1,1,1,2,12,2,2,2,2,2,,2,,1,1,1,1,1,2,2,1,3,3,3,3,3,4,4,3,2,3,3,2,1,2,40,0,4920,,2,1986,2,5,3
1,410,1410,1,1,1,2,19,1,2,1,2,1,3,1,3,2,3,3,3,3,2,4,2,3,3,3,3,3,3,3,3,2,2,3,2,1,1,40,8,,450,1,1997,1,3,
1,411,1411,1,1,1,2,19,1,2,1,2,1,4,1,4,2,4,4,3,4,2,4,2,3,3,3,3,4,4,4,4,3,3,2,3,1,1,40,4,,500,1,1994,1,3,
1,412,1412,1,1,3,1,7,1,1,1,1,1,5,1,3,3,4,4,4,4,3,3,2,4,3,3,3,4,3,3,3,4,3,4,4,1,2,40,0,,485,1,1987,2,5,3
1,413,1413,1,1,1,1,18,1,2,1,2,1,4,1,4,2,4,4,4,4,1,1,1,4,4,3,4,4,4,4,4,3,3,2,2,1,2,40,0,,420,1,1998,1,5,3
1,414,1414,1,1,1,2,20,1,2,1,2,1,2,1,4,2,4,3,4,4,1,1,2,3,3,3,3,4,4,3,3,4,3,3,2,1,1,40,8,,310,1,1990,1,3,
1,415,1415,1,1,3,1,9,1,1,1,2,1,5,2,,1,5,5,5,5,2,4,2,3,3,3,3,3,2,4,3,4,3,3,3,1,2,40,0,,480,1,1993,2,5,3
1,416,1416,1,1,4,1,9,1,1,1,2,1,4,2,,1,2,2,4,3,2,5,2,4,4,5,5,4,4,3,4,2,4,4,4,1,2,40,0,7200,,1,1983,2,5,3
1,417,1417,1,1,1,1,18,1,2,1,1,1,3,2,,1,4,5,5,4,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,1,2,40,0,,420,1,1996,1,5,3
1,418,1418,1,1,1,2,19,1,2,1,2,1,4,1,2,2,4,4,3,3,2,4,2,2,3,2,3,4,4,4,4,3,2,3,2,1,1,40,8,,500,1,1995,1,3,
1,419,1419,1,1,1,2,16,2,2,1,2,1,4,1,4,4,3,3,3,3,3,3,2,4,4,2,2,4,3,4,4,2,4,2,2,1,2,40,0,7320,,2,1978,2,5,3
1,420,1420,1,1,1,2,19,1,2,1,2,1,2,1,2,2,4,4,3,3,2,4,2,3,3,2,3,3,3,3,3,3,2,3,2,1,1,40,8,,500,1,1997,1,3,
1,421,1421,1,1,1,2,20,1,1,1,1,1,4,1,4,2,2,3,3,4,1,4,2,3,4,4,4,3,4,4,4,2,4,2,2,1,1,40,12,6960,,1,1984,2,3,
1,422,1422,1,1,1,2,19,1,2,1,2,1,2,1,3,2,3,3,3,3,2,3,2,3,3,2,3,4,4,4,3,2,3,3,2,1,1,40,0,,380,1,1995,1,3,
1,423,1423,1,1,1,1,7,1,2,1,2,1,4,1,4,5,4,2,4,4,2,2,2,4,4,5,4,4,5,4,4,2,4,3,4,1,2,40,0,,420,1,1993,2,5,3
1,424,1424,1,1,1,2,19,1,2,1,2,1,2,1,2,2,4,4,3,3,2,4,2,2,3,3,2,4,4,4,4,3,3,3,3,1,1,40,4,6000,,1,1993,1,3,
1,425,1425,1,1,1,2,19,1,2,1,2,1,3,1,3,2,3,3,3,3,2,4,2,3,3,3,3,4,3,4,3,3,3,3,3,1,1,40,8,,450,1,1999,1,3,
1,426,1426,1,1,5,1,9,1,1,1,2,1,4,1,4,3,4,4,5,5,5,6,2,5,5,5,5,5,5,5,5,2,3,1,1,1,2,40,0,8400,,1,1982,2,5,2
1,427,1427,1,1,1,2,20,1,1,1,1,1,3,1,3,2,4,4,4,4,1,3,2,3,4,3,4,4,4,4,4,2,4,3,3,1,1,40,4,,350,1,1995,1,3,
1,428,1428,1,1,1,2,20,1,1,1,1,1,2,1,3,2,3,3,3,3,1,3,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,40,12,6000,,1,1993,2,3,
1,429,1429,1,1,1,2,19,1,2,1,2,1,4,1,4,2,4,4,4,4,2,4,2,2,2,2,2,4,4,4,3,2,3,3,2,1,1,40,4,6000,,1,1997,1,3,
1,430,1430,1,1,1,1,7,1,2,1,2,1,3,1,4,4,3,3,4,3,1,2,2,3,4,3,3,3,3,3,3,3,4,3,3,1,2,40,0,,420,1,1995,1,5,3
1,431,1431,1,1,1,2,19,1,2,1,2,1,4,1,4,2,4,4,3,3,2,4,1,3,3,3,3,4,4,4,4,3,3,2,2,1,1,40,4,,500,1,1996,1,3,
1,432,1432,1,1,1,2,19,1,2,1,2,1,3,1,3,2,3,3,4,3,2,4,2,2,2,2,3,4,4,4,3,3,3,3,3,1,1,40,8,,450,1,1996,1,3,
1,433,1433,1,1,1,2,20,1,1,1,1,1,4,1,4,2,2,3,4,4,1,3,2,3,3,3,3,3,3,4,4,2,4,2,1,1,1,40,12,6240,,1,1996,1,3,
1,434,1434,1,1,1,2,19,1,2,1,2,1,4,1,4,2,3,4,3,3,2,3,2,2,2,2,3,4,4,3,3,2,3,2,2,1,1,40,8,,500,1,1994,1,3,
1,435,1435,1,1,1,2,3,1,2,1,1,1,5,1,4,2,3,4,4,4,2,3,2,3,4,4,4,4,4,4,4,2,4,2,2,1,2,40,0,5760,,2,1983,2,5,2
1,436,1436,1,1,1,2,20,1,1,1,1,1,2,1,2,2,3,3,4,4,2,4,2,4,4,4,4,4,4,4,4,2,3,2,2,1,1,40,12,7800,,1,1981,2,3,
1,437,1437,1,1,1,2,20,1,2,1,2,1,4,1,2,2,3,4,3,4,2,3,1,2,3,2,3,4,4,4,3,3,2,3,3,1,1,40,8,5400,,1,1997,1,3,
1,438,1438,1,1,1,2,20,1,1,1,1,1,4,1,4,2,4,4,4,3,1,3,2,4,3,3,3,3,4,4,3,2,3,2,2,1,1,40,4,6000,,1,1985,2,3,
1,439,1439,1,1,4,1,18,1,1,1,1,1,3,1,3,3,3,3,3,3,2,5,2,2,3,2,3,3,3,3,3,4,1,3,2,1,2,40,0,7320,,1,1980,2,5,3
1,440,1440,1,1,1,2,3,1,2,1,2,1,3,1,3,4,3,3,4,4,2,4,2,3,4,3,3,3,3,3,3,3,4,3,3,1,2,40,0,5040,,1,1990,2,4,2
1,441,1441,1,1,1,2,20,1,1,1,1,1,4,1,4,2,3,3,4,4,1,5,2,4,4,3,4,4,3,4,4,2,4,2,2,1,1,40,0,6600,,1,1995,1,3,
1,442,1442,1,1,1,2,20,1,2,1,2,1,4,1,4,2,4,4,3,3,2,3,2,3,3,2,2,4,4,4,3,3,3,2,3,1,1,40,4,,400,1,1991,1,3,
1,443,1443,1,1,1,2,20,1,1,1,1,1,3,1,3,2,3,3,4,4,1,4,2,3,3,3,3,3,3,3,3,3,3,3,3,1,1,40,12,7200,,1,1981,2,3,
1,444,1444,1,1,1,2,20,1,1,2,1,2,,2,,2,3,3,4,4,1,3,2,4,4,4,4,4,4,4,4,2,3,2,2,1,1,40,8,6000,,1,1998,1,3,
1,445,1445,1,1,1,2,20,1,1,1,1,1,2,1,3,2,3,4,4,4,1,3,2,4,3,4,4,3,3,4,4,3,4,4,4,1,1,40,4,,350,1,1996,1,3,
1,446,1446,1,1,1,1,11,2,2,2,2,2,,2,,1,1,1,1,1,2,2,2,5,5,4,3,2,3,5,2,4,2,2,2,1,2,40,0,,420,1,1992,1,5,1
1,447,1447,1,1,1,2,20,1,1,2,1,2,,2,,2,3,3,4,4,1,3,2,4,3,4,3,4,3,4,4,2,4,3,2,1,1,40,8,5400,,1,1995,1,3,
1,448,1448,1,1,1,2,9,1,2,1,2,1,3,1,3,3,3,3,4,3,2,4,2,3,4,4,3,4,4,4,4,3,4,4,4,1,2,40,0,4800,,2,1986,2,4,3
1,449,1449,1,1,1,2,20,1,2,1,2,1,4,1,4,2,4,4,3,3,2,3,2,4,2,2,3,3,4,3,3,3,3,3,3,1,1,40,0,,400,1,1994,2,3,
1,450,1450,1,1,4,1,9,1,1,1,1,1,4,1,4,2,5,5,5,5,5,5,1,4,3,5,4,4,3,3,4,3,4,3,3,1,2,40,0,6700,,2,1985,1,5,3
1,451,1451,1,1,1,2,20,1,1,1,1,1,3,1,3,2,3,4,4,4,1,3,2,4,4,4,5,4,4,4,4,2,4,3,2,1,1,40,8,6600,,1,1993,2,3,
1,452,1452,1,1,1,2,20,1,1,1,1,1,4,1,3,2,3,3,3,4,1,3,2,3,4,4,3,3,3,4,4,3,3,2,2,1,1,40,8,6000,,1,1993,1,3,
1,453,1453,1,1,3,1,18,1,2,1,2,1,4,1,4,5,3,3,3,3,4,4,2,4,4,4,2,3,2,4,3,2,3,4,4,1,2,40,0,6000,,1,1985,2,5,3
1,454,1454,1,1,1,2,20,1,1,1,1,1,4,1,4,2,3,3,4,3,1,2,2,3,4,3,3,3,4,4,4,2,3,3,2,1,1,40,4,,350,1,1998,1,3,
1,455,1455,1,1,1,2,20,1,1,1,1,1,4,1,4,2,4,4,4,4,1,3,1,4,4,3,3,4,4,4,4,3,4,3,2,1,1,40,8,,600,1,1981,2,3,
1,456,1456,1,1,1,2,9,2,2,2,2,2,,2,,1,2,3,3,2,1,2,2,3,4,3,3,3,3,3,3,4,3,3,3,1,2,40,0,5040,,1,1995,1,3,
1,457,1457,1,1,5,2,7,1,2,1,2,1,2,1,4,3,3,2,3,3,6,6,2,3,3,3,3,3,3,3,3,3,2,2,2,1,2,40,0,8160,,1,1979,2,5,3
1,458,1458,1,1,4,1,8,1,1,1,1,1,4,1,4,3,4,4,4,4,2,5,2,3,3,3,3,4,2,3,3,2,2,5,5,1,2,40,0,7320,,1,1982,2,5,3
1,459,1459,1,1,1,2,19,1,2,1,2,1,2,1,2,2,3,3,3,3,2,4,2,2,3,2,3,4,4,4,3,2,3,3,2,1,1,40,8,,500,1,1997,1,3,
1,460,1460,1,1,1,2,20,1,1,1,1,1,4,1,4,2,3,3,3,4,1,3,2,3,4,4,3,3,3,4,4,3,4,2,2,1,1,40,4,4800,,1,1996,1,3,
1,461,1461,1,1,1,2,16,1,1,1,1,1,3,1,3,2,3,3,3,3,2,2,1,5,4,4,3,5,3,4,4,4,3,2,3,1,2,40,0,3720,,2,1982,1,5,3
1,462,1462,1,1,4,1,9,1,1,1,1,1,4,1,4,2,4,3,4,4,2,5,2,4,4,4,4,4,3,4,4,4,4,4,4,1,2,40,0,7320,,1,1983,2,5,3
